0,1.49136,1.49136,0,0
1,0.478566,0.478567,-2,-1.99982
2,-0.522734,-0.522841,-4,-4.0206
3,-1.52286,-1.51005,-6.00014,-3.41854
4,-2.52288,-2.27241,-8.06807,-2.27241
5,-3.5229,-1.285,-7.43267,-1.285
6,-4.53154,-0.0889387,-6.21799,-0.0889387
7,-5.81963,0.940612,-5.42152,0.940612
8,-4.6732,1.44397,-4.6732,1.44397
9,-4.6732,2.77815,-4.6732,2.77815
10,-2.56071,2.77815,-2.56071,2.77815
11,-1.01191,2.77815,-1.01191,2.77815
12,-0.574298,2.77815,-0.574298,2.77815
13,-0.574298,2.77815,-0.574298,2.77815
14,1.56403,2.77815,1.56403,2.77815